url,name,price,rating,number_of_reviews
/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5/,Aristrocrat Unisex Laptop Bag Grey,663,4.4,36
/Arctic-Fox-Liters-String-Backpack/dp/B09P5BD6K5/,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,199,4.2,3762
/Rainox-PU-Leather-Shoulder-Band-Wrist-Exercise/dp/B0C6ZY6RD3/,Rainox Combo Pack of PU-Leather Gym Bag Gym Duffel Bag with Shoulder Strap for Men's & Women's with Wrist Support Band-Wrist Straps for Daily Exercise (Grey) 6 cms,325,4.0,30
/Paarsv-Tamper-Courier-Without-Jacket/dp/B018E1O6LU/,SECUREMENT® Tamper Proof Courier Bags with Pod Jacket documen pouch 10x 14 (100 Pcs),325,4.1,314
/Semi-hard-Water-resistant-Earphone-9-7-inch-Passport/dp/B084RHGTCQ/,"Arctic Hunter Sling Bag for Men Semi-hard Shell Water-resistant Cross Bag for Men Chest Bag with USB Port & Earphone Jack Men Side Bag with 9.7-inch iPad Pocket Passport Bag for Travel,Black","1,899",4.4,649
/teamGOAL-Backpack-Electric-Lemonade-Black/dp/B07XPC93F5/,"Puma Unisex-Adult teamGOAL 23 Backpack, Electric Blue Lemonade-Black (7685402)",649,4.1,173
/Dyazo-Resistant-Photographers-Compatible-Panasonic/dp/B0BWWD1QQQ/,Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),698,4.2,729
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT/,Fastrack Women's Sling Bag (Black),"1,345",4.0,80
/Aristocrat-Cadet-Polyester-Travel-Duffle/dp/B07S7FKD6D/,Aristocrat Cadet Polyester 62 cms Red Travel Duffle,"1,509",4.0,1284
/Adjustable-Waterproof-Breathable-Anti-Shock-Compatible/dp/B0C58X3CRX/,"Amazon Basics Classic Camera Shoulder Bag, Adjustable Strap, Waterproof material, Breathable Mesh, Anti-Shock, Compatible with Nikon, Canon and Sony Mirrorless Cameras",549,3.6,6
/DZert-Hello-School-Backpacks-Cartoon/dp/B08M6FS6W8/,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),229,3.7,12738
/Wolpin-Foldable-Shopping-Bag-Grocery/dp/B0B21SYHMB/,"Wolpin Foldable Shopping Bag for Grocery - Folds to Pocket Size, Tote Grocery Shoulder Handbag Travel Bag for Men and Women (40 x 40 cm)",229,3.9,295
/WILDHORN-Leather-inches-Messenger-MB570/dp/B07M9NKYVK/,WildHorn Leather Messenger Bag for Men/Office Bag for Men I Padded Laptop Compartment with Adjustable Strap I DIMENSION : L-14 inch W-3 inch H-11 inch,"2,309",3.9,266
/Amazon-Brand-Solimo-Backpack-litres/dp/B07FQMN9VN/,"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",199,4.2,9420
/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/,Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),985,3.6,46
/Fast-Travel-partition-Collage-Backpack/dp/B09XLKF4W4/,Fast Travel School Bag Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Backpack Unisex,620,4.0,1177
/Caprese-Yondella-Womens-Sling-Peach/dp/B07B9FBW14/,Caprese Yondella Women's Sling Bag,999,4.1,1322
/Red-Lemon-15-6-inch-Backpacks-Travelling/dp/B0CGZLZRNZ/,"Red Lemon Titan Ultrafit Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women 45L&35L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,597",4.3,329
/TRAVEL-POINT-Rucksack-Waterproof-Compartment/dp/B09V82WPTB/,TRAVEL POINT 60 Liters Waterproof Travel Rucksack Backpack for Outdoor/Sports/Camping/Hiking/Trekking Bag for Men and Women with 1 Year Warranty (Black),749,4.0,146
/Puma-Unisex-Adult-Backpack-Parisian-9018402/dp/B0BWF418HL/,"Puma Unisex-Adult Big Cat Backpack, Parisian Night (9018402)","1,098",4.1,14
/Travel-Duffle-Weekend-Luggage-Sports/dp/B086PYLWS3/,Fur Jaden 25L Travel Duffle Bag for Weekend Trip Cabin Luggage and Gym Sports Duffle for Men and Women,629,4.1,962
/Lino-Perros-Womens-Lavender-Handbag/dp/B0CBQ41BYZ/,Lino Perros Women Handbag,989,4.2,1462
/PLAYY-BAGS-Polyester-Business-Shoulder/dp/B0CJCBPCBP/,PLAYY BAGS Small 12 L daypack Small Bag for Daily Use - 2 Compartment Mini daypack,224,0,0
/Travel-Duffle-Premium-Leatherette-Medium/dp/B086MZDG7H/,Fur Jaden Tan Leatherette Gym Bag for Men Women Boys Girls Travel Duffle Weekender Bag 23L,479,4.3,1843
/TRAWOC-Travel-Backpack-Versatile-trip-Olivegreen/dp/B0CFFJ9FDQ/,"TRAWOC Travel Backpack - Versatile 30 Litre Laptop Backpack for Men & Women, Ideal Casual Bag for office and day trip.",899,5.0,1
/Lavie-Womens-Amara-Ladies-Handbag/dp/B09WYDMMZF/,Lavie Women's Amara Round Potli | Ladies Purse Handbag,299,4.0,87
